unit_id,fixed_active_auc,adaptive_active_auc,prior_only_error,prior_passive_error,fixed_final_error,adaptive_final_error,adaptive_actions
unit_000,0.20453835670293005,0.175148815971567,0.14066259584267027,0.08797232289734787,0.044649702904395044,0.006946157883564275,"incline:2,drop:0.1,vertical_accel:1.5"
unit_001,0.2288291563580846,0.21452779982872816,0.4163966835343253,0.039144117895313205,0.08482449254405736,0.07761807318008554,"incline:2,drop:0.1,vertical_accel:1.5"
unit_002,2.1055738151448957,2.0116552708356714,0.7758860342869544,0.6984922669803565,0.7084076550326727,0.58741731730248,"incline:2,drop:0.1,vertical_accel:1.5"
unit_003,0.05497821063203577,0.03957697347407787,0.1940611605043896,0.021245958900108435,0.010795761450315418,0.010940987330207997,"incline:2,vertical_accel:1.5,drop:0.1"
unit_004,0.24206519339581745,0.4302815780378725,0.13518327207401878,0.0654923591798063,0.0644458078265115,0.06756677358621814,"incline:2,vertical_accel:1.5,drop:0.1"
unit_005,0.15748946833187277,0.7515212451817832,0.14503757818837654,0.05184257581732548,0.05403112754629258,0.41458133958528487,"incline:2,vertical_accel:1.5,vertical_accel:0.8"
unit_006,0.2938823588911669,0.1875392410649483,0.10909028888512655,0.08903097758905447,0.05834564525616134,0.06575958927148848,"incline:2,drop:0.1,vertical_accel:1.5"
unit_007,0.06784309278734789,0.07956705625748793,0.16918419498070636,0.024214778536896478,0.023415899113764384,0.03438506344045053,"incline:2,vertical_accel:1.5,vertical_accel:0.8"
unit_008,0.17341560099647402,0.14198135913425836,0.45540959644759027,0.06590204925438674,0.04364199528778494,0.06227860248018169,"incline:2,drop:0.1,drop:0.25"
unit_009,0.3194500732938764,0.346409363146191,0.12803458660470543,0.10268282127178747,0.04497066770131162,0.101313700432686,"incline:2,vertical_accel:1.5,drop:0.1"
unit_010,0.5016367476042467,0.49394653199587446,0.2858715347175125,0.18715861858169133,0.09829020379428685,0.1563747218922576,"incline:2,drop:0.1,vertical_accel:1.5"
unit_011,0.7075845370781574,0.5146424259591936,0.5038930585682656,0.18041722844340494,0.5705429427317642,0.17112401111150596,"incline:2,drop:0.1,vertical_accel:1.5"
